Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R168,1.2k,R_0402_1005Metric,51.5697,-148.12,90.0,bottom
R169,10k,R_0402_1005Metric,86.868,-155.954,270.0,bottom
R17,2.3k,R_0402_1005Metric,62.833333,-116.637167,0.0,top
R170,10k,R_0402_1005Metric,85.618,-155.964,270.0,bottom
R173,1k5,R_0402_1005Metric,31.24,-155.17,90.0,top
R174,22,R_0402_1005Metric,31.242,-155.3464,270.0,bottom
R175,1k5,R_0402_1005Metric,30.03,-155.17,90.0,top
R176,22,R_0402_1005Metric,30.0228,-155.3464,90.0,bottom
R177,5.1k,R_0402_1005Metric,28.702,-155.3464,90.0,bottom
R178,5.1k,R_0402_1005Metric,32.512,-155.321,90.0,bottom
R179,0,R_0402_1005Metric,25.325287,-153.3124,-90.0,top
R18,2.3k,R_0402_1005Metric,62.833333,-111.717167,0.0,top
R180,0,R_0402_1005Metric,26.595287,-153.3124,-90.0,top
R183,4.7k,R_0402_1005Metric,42.225,-115.015,90.0,top
R185,1k,R_0402_1005Metric,41.0596,-75.7472,180.0,top
R188,4.7k,R_0402_1005Metric,42.34,-112.4,90.0,top
R19,10k,R_0402_1005Metric,62.833333,-117.877167,0.0,bottom
R190,1k,R_0402_1005Metric,53.1346,-75.7472,180.0,top
R193,4.7k,R_0402_1005Metric,54.5592,-114.7084,90.0,top
R195,1k,R_0402_1005Metric,65.2096,-75.7472,180.0,top
R198,4.7k,R_0402_1005Metric,41.025,-111.94,90.0,top
R199,4.7k,R_0402_1005Metric,55.7276,-114.7318,90.0,top
R2,0Ohm,R_0402_1005Metric,59.1448,-147.8823,0.0,bottom
R20,1.2k,R_0402_1005Metric,83.91,-123.836662,-90.0,top
R201,1k,R_0402_1005Metric,77.2824,-75.7384,180.0,top
R204,4.7k,R_0402_1005Metric,56.8452,-114.7318,90.0,top
R206,1k,R_0402_1005Metric,89.3524,-75.7284,180.0,top
R209,4.7k,R_0402_1005Metric,56.46,-117.37,45.0,top
R21,1.2k,R_0402_1005Metric,85.15,-123.836662,-90.0,top
R211,1k,R_0402_1005Metric,101.4224,-75.7384,180.0,top
R214,4.7k,R_0402_1005Metric,54.5826,-118.8212,0.0,top
R216,1k,R_0402_1005Metric,113.4924,-75.7484,180.0,top
R22,1.2k,R_0402_1005Metric,86.39,-123.836662,-90.0,top
R23,1.2k,R_0402_1005Metric,87.62,-123.836662,-90.0,top
R24,4.7k,R_0402_1005Metric,90.09,-123.836662,90.0,top
R25,4.7k,R_0402_1005Metric,91.33,-123.836662,90.0,top
R26,4.7k,R_0402_1005Metric,92.56,-123.836662,90.0,top
R27,4.7k,R_0402_1005Metric,93.8,-123.836662,90.0,top
R28,47,R_0805_2012Metric,81.8225,-119.53,180.0,top
R29,470,R_0402_1005Metric,82.67,-123.836662,-90.0,top
R3,0Ohm,R_0402_1005Metric,62.269,-147.8823,0.0,bottom
R30,4.7k,R_0402_1005Metric,70.09,-123.85,180.0,top
R31,1.2k,R_0402_1005Metric,93.84,-119.88,0.0,top
R32,10k,R_0402_1005Metric,62.833333,-111.717167,0.0,bottom
R33,2.3k,R_0402_1005Metric,62.836666,-117.877167,0.0,top
R34,2.3k,R_0402_1005Metric,62.833333,-110.467167,0.0,top
R35,10k,R_0402_1005Metric,62.836666,-119.087167,0.0,bottom
R36,10k,R_0402_1005Metric,62.833333,-110.467167,0.0,bottom
R37,2.3k,R_0402_1005Metric,62.836666,-119.087167,0.0,top
R38,4.7k,R_0402_1005Metric,43.19,-88.07,90.0,bottom
R39,10k,R_0402_1005Metric,57.225,-145.125,0.0,top
R4,0Ohm,R_0402_1005Metric,65.3932,-147.8823,0.0,bottom
R40,10k,R_0402_1005Metric,60.375,-145.125,0.0,top
R41,10k,R_0402_1005Metric,63.45,-145.125,0.0,top
R42,10k,R_0402_1005Metric,66.5,-145.125,0.0,top
R43,EXB-2HV472JV,RES_EXB2HV,65.4988,-130.7156,90.0,top
R44,1.2k,R_0402_1005Metric,88.86,-123.836662,-90.0,top
R45,2.3k,R_0402_1005Metric,74.49,-110.457167,180.0,top
R46,10k,R_0402_1005Metric,74.493333,-119.077167,180.0,bottom
R47,10k,R_0402_1005Metric,74.49,-110.457167,180.0,bottom
R48,2.3k,R_0402_1005Metric,74.493333,-119.077167,180.0,top
R49,2.3k,R_0402_1005Metric,74.49,-111.667167,180.0,top
R5,1k,R_0402_1005Metric,55.4364,-152.8353,-90.0,top
R50,10k,R_0402_1005Metric,74.493333,-117.827167,180.0,bottom
R51,10k,R_0402_1005Metric,74.493333,-111.667167,180.0,bottom
R52,2.3k,R_0402_1005Metric,74.493333,-117.827167,180.0,top
R53,2.3k,R_0402_1005Metric,74.493333,-112.907167,180.0,top
R54,0,R_0805_2012Metric,59.65,-131.7,-135.0,top
R55,1k,R_0402_1005Metric,53.61,-138.56,-135.0,top
R56,10k,R_0402_1005Metric,34.6,-138.71,225.0,bottom
R57,10k,R_0402_1005Metric,50.58,-153.54,-90.0,top
R58,120,R_0402_1005Metric,51.8668,-105.41,90.0,top
R59,120,R_0402_1005Metric,45.1104,-105.41,90.0,top
R6,1k,R_0402_1005Metric,58.5352,-152.8353,-90.0,top
R60,0R0,R_0402_1005Metric,76.1825,-151.3515,90.0,top
R61,100k,R_0402_1005Metric,83.9075,-150.7675,180.0,top
R62,15k,R_0402_1005Metric,77.2825,-151.3515,90.0,top
R63,100k,R_0402_1005Metric,82.1069,-151.2675,90.0,top
R64,100k,R_0402_1005Metric,80.5175,-151.867501,180.0,top
R65,10k,R_0402_1005Metric,74.493333,-116.627167,180.0,bottom
R66,1k5,R_0402_1005Metric,57.22,-130.17,45.0,top
R67,1k,R_0402_1005Metric,28.99,-75.75,180.0,top
R68,1.2k,R_0402_1005Metric,32.800514,-120.411477,135.0,top
R69,2.2k,R_0402_1005Metric,32.800514,-120.411477,225.0,bottom
R7,1k,R_0402_1005Metric,61.634,-152.8353,-90.0,top
R70,1.2k,R_0402_1005Metric,33.504082,-119.701842,135.0,top
R71,2.2k,R_0402_1005Metric,33.504082,-119.701842,225.0,bottom
R72,1k,R_0402_1005Metric,96.66,-154.59,90.0,top
R73,10k,R_0402_1005Metric,30.2,-133.88,315.0,bottom
R74,10k,R_0402_1005Metric,29.400624,-133.069376,315.0,bottom
R75,1.2k,R_0402_1005Metric,34.207654,-118.992211,135.0,top
R76,2.2k,R_0402_1005Metric,34.207654,-118.992211,225.0,bottom
R77,1.2k,R_0402_1005Metric,34.908698,-118.280054,135.0,top
R78,2.2k,R_0402_1005Metric,34.908698,-118.280054,225.0,bottom
R79,1.2k,R_0402_1005Metric,35.615805,-117.572947,135.0,top
R8,1k,R_0402_1005Metric,64.7328,-152.8353,-90.0,top
R80,2.2k,R_0402_1005Metric,35.615805,-117.572947,225.0,bottom
R81,1.2k,R_0402_1005Metric,36.319376,-116.869376,135.0,top
R82,2.2k,R_0402_1005Metric,36.319376,-116.869376,225.0,bottom
R83,1.2k,R_0402_1005Metric,37.022948,-116.165805,135.0,top
R84,2.2k,R_0402_1005Metric,37.022948,-116.165805,225.0,bottom
R85,1.2k,R_0402_1005Metric,37.730054,-115.458698,135.0,top
R86,2.2k,R_0402_1005Metric,37.730624,-115.460624,225.0,bottom
R87,10k,R_0402_1005Metric,74.493333,-112.907167,180.0,bottom
R88,2.3k,R_0402_1005Metric,74.493333,-116.627167,180.0,top
R89,2.3k,R_0402_1005Metric,74.493333,-114.147167,180.0,top
R9,4.7k,R_0402_1005Metric,41.42,-95.16,90.0,bottom
R90,10k,R_0402_1005Metric,74.493333,-115.387167,180.0,bottom
R91,10k,R_0402_1005Metric,74.493333,-114.147167,180.0,bottom
R92,2.3k,R_0402_1005Metric,74.493333,-115.387167,180.0,top
R93,1.2k,R_0402_1005Metric,109.4452,-123.835862,-90.0,top
R94,47,R_0805_2012Metric,102.4075,-119.54,180.0,top
R95,470,R_0402_1005Metric,103.2552,-123.835862,-90.0,top
R96,4.7k,R_0402_1005Metric,70.05,-126.21,180.0,top
R97,1.2k,R_0402_1005Metric,104.4952,-123.835862,-90.0,top
R98,1.2k,R_0402_1005Metric,105.7352,-123.835862,-90.0,top
R99,1.2k,R_0402_1005Metric,106.9752,-123.835862,-90.0,top
U1,AQY221R4VY,SOTFL127P485X190-4N,56.065,-148.728,90.0,top
